query,response,intent
"What are your business hours?","We are open Monday to Friday from 9 AM to 6 PM, and Saturday from 10 AM to 4 PM.","business_hours"
"When are you open?","We are open Monday to Friday from 9 AM to 6 PM, and Saturday from 10 AM to 4 PM.","business_hours"
"What time do you open?","We open at 9 AM on weekdays and 10 AM on Saturdays.","business_hours"
"What time do you close?","We close at 6 PM on weekdays and 4 PM on Saturdays.","business_hours"
"Are you open on weekends?","We are open on Saturdays from 10 AM to 4 PM, but closed on Sundays.","business_hours"
"How can I track my order?","You can track your order by logging into your account and visiting the 'Order Status' section, or by using the tracking number provided in your order confirmation email.","order_tracking"
"Where is my package?","You can track your package's location by entering your tracking number on our website or in your account dashboard.","order_tracking"
"How do I check my order status?","To check your order status, log into your account and go to the 'Order History' section.","order_tracking"
"I want to track my package","You can track your package using the tracking number sent to your email after shipping confirmation.","order_tracking"
"Order tracking","Order tracking is available through your account dashboard or by using the tracking number provided in your shipping confirmation email.","order_tracking"
"What is your return policy?","We offer a 30-day return policy. Items must be unused and in original packaging. Please contact our customer service to initiate a return.","return_policy"
"How do I return an item?","To return an item, please contact our customer service within 30 days of purchase to get a return authorization.","return_policy"
"Can I get a refund?","Refunds are processed once we receive and inspect the returned items. This typically takes 5-7 business days.","return_policy"
"Return process","Our return process requires you to contact customer service first to get return authorization and shipping instructions.","return_policy"
"Do you accept returns?","Yes, we accept returns within 30 days of purchase for items in their original condition.","return_policy"
"How do I reset my password?","To reset your password, click on 'Forgot Password' on the login page. You'll receive a password reset link via email.","account_help"
"Forgot my password","Click the 'Forgot Password' link on the login page and follow the instructions sent to your email.","account_help"
"Can't log in","If you're having trouble logging in, try resetting your password or contact our support team for assistance.","account_help"
"How do I change my account details?","You can update your account details by logging in and navigating to the 'Account Settings' page.","account_help"
"Account problems","For account-related issues, please contact our support team with your username and the specific problem you're experiencing.","account_help"
"What payment methods do you accept?","We accept all major credit cards (Visa, MasterCard, American Express), PayPal, and bank transfers.","payment_info"
"Can I pay with PayPal?","Yes, we accept PayPal as one of our payment methods.","payment_info"
"Do you accept credit cards?","Yes, we accept all major credit cards including Visa, MasterCard, and American Express.","payment_info"
